"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"7.6.2023 8:40:27",1,203,609,10.9
"7.6.2023 8:40:27",2,202,606,10.6
"7.6.2023 8:40:27",3,204,612,11.2
"7.6.2023 8:40:27",4,203,609,10.9
"7.6.2023 8:40:33",1,203,609,10.9
"7.6.2023 8:40:33",2,201,603,10.3
"7.6.2023 8:40:33",3,203,609,10.9
"7.6.2023 8:40:33",4,202,606,10.6
"7.6.2023 8:40:39",1,203,609,10.9
"7.6.2023 8:40:39",2,202,606,10.6
"7.6.2023 8:40:39",3,204,612,11.2
"7.6.2023 8:40:39",4,201,603,10.3
"7.6.2023 8:40:45",1,203,609,10.9
"7.6.2023 8:40:45",2,200,600,10
"7.6.2023 8:40:45",3,203,609,10.9
"7.6.2023 8:40:45",4,204,612,11.2
"7.6.2023 8:40:51",1,202,606,10.6
"7.6.2023 8:40:51",2,201,603,10.3
"7.6.2023 8:40:51",3,205,615,11.5
"7.6.2023 8:40:51",4,203,609,10.9
"7.6.2023 8:40:57",1,203,609,10.9
"7.6.2023 8:40:57",2,201,603,10.3
"7.6.2023 8:40:57",3,204,612,11.2
"7.6.2023 8:40:57",4,201,603,10.3
"7.6.2023 8:41:3",1,202,606,10.6
"7.6.2023 8:41:3",2,201,603,10.3
"7.6.2023 8:41:3",3,203,609,10.9
"7.6.2023 8:41:3",4,202,606,10.6
"7.6.2023 8:41:9",1,204,612,11.2
"7.6.2023 8:41:9",2,199,597,9.7
"7.6.2023 8:41:9",3,205,615,11.5
"7.6.2023 8:41:9",4,203,609,10.9
"7.6.2023 8:41:15",1,202,606,10.6
"7.6.2023 8:41:15",2,201,603,10.3
"7.6.2023 8:41:15",3,204,612,11.2
"7.6.2023 8:41:15",4,203,609,10.9
"7.6.2023 8:41:21",1,204,612,11.2
"7.6.2023 8:41:21",2,200,600,10
"7.6.2023 8:41:21",3,204,612,11.2
"7.6.2023 8:41:21",4,203,609,10.9
"7.6.2023 8:41:27",1,203,609,10.9
"7.6.2023 8:41:27",2,202,606,10.6
"7.6.2023 8:41:27",3,204,612,11.2
"7.6.2023 8:41:27",4,202,606,10.6
"7.6.2023 8:41:33",1,204,612,11.2
"7.6.2023 8:41:33",2,202,606,10.6
"7.6.2023 8:41:33",3,204,612,11.2
"7.6.2023 8:41:33",4,202,606,10.6
"7.6.2023 8:41:39",1,203,609,10.9
"7.6.2023 8:41:39",2,201,603,10.3
"7.6.2023 8:41:39",3,204,612,11.2
"7.6.2023 8:41:39",4,203,609,10.9
"7.6.2023 8:41:45",1,203,609,10.9
"7.6.2023 8:41:45",2,200,600,10
"7.6.2023 8:41:45",3,203,609,10.9
"7.6.2023 8:41:45",4,202,606,10.6
"7.6.2023 8:41:51",1,202,606,10.6
"7.6.2023 8:41:51",2,201,603,10.3
"7.6.2023 8:41:51",3,203,609,10.9
