"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"8.6.2023 9:25:6",1,205,615,11.5
"8.6.2023 9:25:6",2,201,603,10.3
"8.6.2023 9:25:6",3,204,612,11.2
"8.6.2023 9:25:6",4,202,606,10.6
"8.6.2023 9:25:15",1,205,615,11.5
"8.6.2023 9:25:15",2,203,609,10.9
"8.6.2023 9:25:15",3,205,615,11.5
"8.6.2023 9:25:15",4,202,606,10.6
"8.6.2023 9:25:24",1,205,615,11.5
"8.6.2023 9:25:24",2,203,609,10.9
"8.6.2023 9:25:24",3,205,615,11.5
"8.6.2023 9:25:24",4,201,603,10.3
"8.6.2023 9:25:34",1,205,615,11.5
"8.6.2023 9:25:34",2,203,609,10.9
"8.6.2023 9:25:34",3,204,612,11.2
"8.6.2023 9:25:34",4,203,609,10.9
"8.6.2023 9:25:43",1,204,612,11.2
"8.6.2023 9:25:43",2,204,612,11.2
"8.6.2023 9:25:43",3,203,609,10.9
"8.6.2023 9:25:43",4,202,606,10.6
"8.6.2023 9:25:52",1,205,615,11.5
"8.6.2023 9:25:52",2,201,603,10.3
"8.6.2023 9:25:52",3,205,615,11.5
"8.6.2023 9:25:52",4,203,609,10.9
"8.6.2023 9:26:1",1,205,615,11.5
"8.6.2023 9:26:1",2,202,606,10.6
"8.6.2023 9:26:1",3,206,618,11.8
"8.6.2023 9:26:1",4,202,606,10.6
"8.6.2023 9:26:10",1,205,615,11.5
"8.6.2023 9:26:10",2,203,609,10.9
"8.6.2023 9:26:10",3,205,615,11.5
"8.6.2023 9:26:10",4,201,603,10.3
"8.6.2023 9:26:20",1,206,618,11.8
"8.6.2023 9:26:20",2,203,609,10.9
"8.6.2023 9:26:20",3,204,612,11.2
"8.6.2023 9:26:20",4,203,609,10.9
"8.6.2023 9:26:29",1,205,615,11.5
"8.6.2023 9:26:29",2,201,603,10.3
"8.6.2023 9:26:29",3,204,612,11.2
"8.6.2023 9:26:29",4,203,609,10.9
"8.6.2023 9:26:38",1,204,612,11.2
"8.6.2023 9:26:38",2,203,609,10.9
"8.6.2023 9:26:38",3,205,615,11.5
"8.6.2023 9:26:38",4,202,606,10.6
"8.6.2023 9:26:47",1,203,609,10.9
"8.6.2023 9:26:47",2,203,609,10.9
"8.6.2023 9:26:47",3,204,612,11.2
"8.6.2023 9:26:47",4,204,612,11.2
"8.6.2023 9:26:56",1,204,612,11.2
"8.6.2023 9:26:56",2,201,603,10.3
"8.6.2023 9:26:56",3,205,615,11.5
"8.6.2023 9:26:56",4,202,606,10.6
"8.6.2023 9:27:5",1,205,615,11.5
"8.6.2023 9:27:5",2,202,606,10.6
"8.6.2023 9:27:5",3,205,615,11.5
"8.6.2023 9:27:5",4,203,609,10.9
"8.6.2023 9:27:14",1,205,615,11.5
"8.6.2023 9:27:14",2,203,609,10.9
"8.6.2023 9:27:14",3,205,615,11.5
"8.6.2023 9:27:14",4,203,609,10.9
"8.6.2023 9:27:24",1,204,612,11.2
"8.6.2023 9:27:24",2,202,606,10.6
"8.6.2023 9:27:24",3,205,615,11.5
"8.6.2023 9:27:24",4,202,606,10.6
"8.6.2023 9:27:33",1,203,609,10.9
"8.6.2023 9:27:33",2,203,609,10.9
"8.6.2023 9:27:33",3,205,615,11.5
"8.6.2023 9:27:33",4,202,606,10.6
"8.6.2023 9:27:42",1,204,612,11.2
"8.6.2023 9:27:42",2,203,609,10.9
"8.6.2023 9:27:42",3,206,618,11.8
"8.6.2023 9:27:42",4,202,606,10.6
"8.6.2023 9:27:51",1,204,612,11.2
"8.6.2023 9:27:51",2,202,606,10.6
"8.6.2023 9:27:51",3,206,618,11.8
"8.6.2023 9:27:51",4,202,606,10.6
"8.6.2023 9:28:0",1,204,612,11.2
"8.6.2023 9:28:0",2,203,609,10.9
"8.6.2023 9:28:0",3,205,615,11.5
"8.6.2023 9:28:0",4,202,606,10.6
"8.6.2023 9:28:9",1,204,612,11.2
"8.6.2023 9:28:9",2,202,606,10.6
"8.6.2023 9:28:9",3,204,612,11.2
"8.6.2023 9:28:9",4,203,609,10.9
"8.6.2023 9:28:19",1,205,615,11.5
"8.6.2023 9:28:19",2,201,603,10.3
"8.6.2023 9:28:19",3,204,612,11.2
"8.6.2023 9:28:19",4,203,609,10.9
"8.6.2023 9:28:28",1,204,612,11.2
"8.6.2023 9:28:28",2,202,606,10.6
"8.6.2023 9:28:28",3,204,612,11.2
"8.6.2023 9:28:28",4,202,606,10.6
"8.6.2023 9:28:37",1,204,612,11.2
"8.6.2023 9:28:37",2,201,603,10.3
"8.6.2023 9:28:37",3,204,612,11.2
"8.6.2023 9:28:37",4,203,609,10.9
"8.6.2023 9:28:46",1,204,612,11.2
"8.6.2023 9:28:46",2,203,609,10.9
"8.6.2023 9:28:46",3,205,615,11.5
"8.6.2023 9:28:46",4,202,606,10.6
"8.6.2023 9:28:56",1,205,615,11.5
"8.6.2023 9:28:56",2,202,606,10.6
"8.6.2023 9:28:56",3,205,615,11.5
"8.6.2023 9:28:56",4,202,606,10.6
"8.6.2023 9:29:5",1,204,612,11.2
"8.6.2023 9:29:5",2,200,600,10
"8.6.2023 9:29:5",3,205,615,11.5
"8.6.2023 9:29:5",4,202,606,10.6
"8.6.2023 9:29:14",1,205,615,11.5
"8.6.2023 9:29:14",2,203,609,10.9
"8.6.2023 9:29:14",3,203,609,10.9
"8.6.2023 9:29:14",4,202,606,10.6
"8.6.2023 9:29:23",1,204,612,11.2
"8.6.2023 9:29:23",2,203,609,10.9
"8.6.2023 9:29:23",3,204,612,11.2
"8.6.2023 9:29:23",4,198,594,9.4
"8.6.2023 9:29:33",1,205,615,11.5
"8.6.2023 9:29:33",2,203,609,10.9
"8.6.2023 9:29:33",3,205,615,11.5
"8.6.2023 9:29:33",4,202,606,10.6
"8.6.2023 9:29:42",1,203,609,10.9
"8.6.2023 9:29:42",2,203,609,10.9
"8.6.2023 9:29:42",3,205,615,11.5
"8.6.2023 9:29:42",4,202,606,10.6
"8.6.2023 9:29:51",1,205,615,11.5
"8.6.2023 9:29:51",2,202,606,10.6
"8.6.2023 9:29:51",3,206,618,11.8
"8.6.2023 9:29:51",4,202,606,10.6
"8.6.2023 9:30:0",1,204,612,11.2
"8.6.2023 9:30:0",2,202,606,10.6
"8.6.2023 9:30:0",3,205,615,11.5
"8.6.2023 9:30:0",4,203,609,10.9
"8.6.2023 9:30:9",1,204,612,11.2
"8.6.2023 9:30:9",2,203,609,10.9
"8.6.2023 9:30:9",3,204,612,11.2
"8.6.2023 9:30:9",4,202,606,10.6
"8.6.2023 9:30:18",1,205,615,11.5
"8.6.2023 9:30:18",2,201,603,10.3
"8.6.2023 9:30:18",3,204,612,11.2
"8.6.2023 9:30:18",4,202,606,10.6
"8.6.2023 9:30:28",1,204,612,11.2
"8.6.2023 9:30:28",2,203,609,10.9
"8.6.2023 9:30:28",3,205,615,11.5
"8.6.2023 9:30:28",4,202,606,10.6
"8.6.2023 9:30:37",1,203,609,10.9
"8.6.2023 9:30:37",2,203,609,10.9
"8.6.2023 9:30:37",3,204,612,11.2
"8.6.2023 9:30:37",4,202,606,10.6
"8.6.2023 9:30:46",1,205,615,11.5
"8.6.2023 9:30:46",2,202,606,10.6
"8.6.2023 9:30:46",3,206,618,11.8
"8.6.2023 9:30:46",4,203,609,10.9
"8.6.2023 9:30:55",1,205,615,11.5
"8.6.2023 9:30:55",2,203,609,10.9
"8.6.2023 9:30:55",3,200,600,10
