"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"5.6.2023 14:51:38",1,201,603,10.3
"5.6.2023 14:51:38",2,199,597,9.7
"5.6.2023 14:51:38",3,202,606,10.6
"5.6.2023 14:51:38",4,202,606,10.6
"5.6.2023 14:51:56",1,201,603,10.3
"5.6.2023 14:51:56",2,201,603,10.3
"5.6.2023 14:51:56",3,203,609,10.9
"5.6.2023 14:51:56",4,201,603,10.3
"5.6.2023 14:52:2",1,200,600,10
"5.6.2023 14:52:2",2,199,597,9.7
"5.6.2023 14:52:2",3,202,606,10.6
"5.6.2023 14:52:2",4,201,603,10.3
"5.6.2023 14:52:8",1,201,603,10.3
"5.6.2023 14:52:8",2,200,600,10
"5.6.2023 14:52:8",3,202,606,10.6
"5.6.2023 14:52:8",4,202,606,10.6
"5.6.2023 14:52:15",1,201,603,10.3
"5.6.2023 14:52:15",2,200,600,10
"5.6.2023 14:52:15",3,202,606,10.6
"5.6.2023 14:52:15",4,201,603,10.3
"5.6.2023 14:52:21",1,202,606,10.6
"5.6.2023 14:52:21",2,200,600,10
"5.6.2023 14:52:21",3,202,606,10.6
"5.6.2023 14:52:21",4,201,603,10.3
"5.6.2023 14:52:27",1,201,603,10.3
"5.6.2023 14:52:27",2,201,603,10.3
"5.6.2023 14:52:27",3,202,606,10.6
"5.6.2023 14:52:27",4,201,603,10.3
"5.6.2023 14:52:33",1,202,606,10.6
"5.6.2023 14:52:33",2,201,603,10.3
"5.6.2023 14:52:33",3,202,606,10.6
"5.6.2023 14:52:33",4,202,606,10.6
"5.6.2023 14:52:39",1,200,600,10
"5.6.2023 14:52:39",2,199,597,9.7
"5.6.2023 14:52:39",3,203,609,10.9
"5.6.2023 14:52:39",4,201,603,10.3
"5.6.2023 14:52:46",1,200,600,10
"5.6.2023 14:52:46",2,199,597,9.7
"5.6.2023 14:52:46",3,203,609,10.9
"5.6.2023 14:52:46",4,202,606,10.6
"5.6.2023 14:52:52",1,200,600,10
"5.6.2023 14:52:52",2,199,597,9.7
"5.6.2023 14:52:52",3,202,606,10.6
"5.6.2023 14:52:52",4,201,603,10.3
"5.6.2023 14:52:58",1,201,603,10.3
"5.6.2023 14:52:58",2,200,600,10
"5.6.2023 14:52:58",3,203,609,10.9
"5.6.2023 14:52:58",4,202,606,10.6
"5.6.2023 14:53:4",1,202,606,10.6
"5.6.2023 14:53:4",2,199,597,9.7
"5.6.2023 14:53:4",3,205,615,11.5
